id,path
background_0,graphics/mapeditor/background/background_0.png
background_1,graphics/mapeditor/background/background_1.png
background_2,graphics/mapeditor/background/background_2.png
background_3,graphics/mapeditor/background/background_3.png
background_4,graphics/mapeditor/background/background_4.png
background_5,graphics/mapeditor/background/background_5.png
background_6,graphics/mapeditor/background/background_6.png
background_7,graphics/mapeditor/background/background_7.png
background_8,graphics/mapeditor/background/background_8.png
background_9,graphics/mapeditor/background/background_9.png
background_10,graphics/mapeditor/background/background_10.png
