id,path
backobject_0,graphics/mapeditor/backobject/backobject_0.png
backobject_1,graphics/mapeditor/backobject/backobject_1.png
backobject_2,graphics/mapeditor/backobject/backobject_2.png
backobject_3,graphics/mapeditor/backobject/backobject_3.png
backobject_4,graphics/mapeditor/backobject/backobject_4.png
backobject_5,graphics/mapeditor/backobject/backobject_5.png
backobject_6,graphics/mapeditor/backobject/backobject_6.png
backobject_7,graphics/mapeditor/backobject/backobject_7.png
backobject_8,graphics/mapeditor/backobject/backobject_8.png
backobject_9,graphics/mapeditor/backobject/backobject_9.png
backobject_10,graphics/mapeditor/backobject/backobject_10.png
backobject_11,graphics/mapeditor/backobject/backobject_11.png
backobject_12,graphics/mapeditor/backobject/backobject_12.png
backobject_13,graphics/mapeditor/backobject/backobject_13.png
backobject_14,graphics/mapeditor/backobject/backobject_14.png
